Employee ID	Gender	Age	BusinessTravel	Department	DistanceFromHome (KM)	State	Ethnicity	Education	EducationField	JobRole	MaritalStatus	Salary	StockOptionLevel	OverTime	HireDate	Attrition	YearsAtCompany	YearsInMostRecentRole	YearsSinceLastPromotion	YearsWithCurrManager
38	Female	28	Some Travel	Technology	14	IL	White	2	Business Studies	Software Engineer	Divorced	105984	2	Yes	"Saturday, February 4, 2012"	No	10	7	9	10
39	Male	32	Some Travel	Technology	15	CA	Mixed or multiple ethnic groups	3	Other	Analytics Manager	Married	393294	1	No	"Saturday, February 4, 2012"	No	10	2	2	2
40	Female	41	Frequent Traveller	Technology	7	CA	Black or African American	1	Business Studies	Machine Learning Engineer	Single	107008	0	No	"Sunday, February 5, 2012"	No	10	9	10	9
41	Female	34	Some Travel	Technology	5	CA	White	1	Information Systems	Data Scientist	Single	127432	0	Yes	"Monday, February 6, 2012"	No	10	8	9	9
42	Male	45	Some Travel	Sales	20	CA	White	2	Marketing 	Sales Executive	Married	76693	1	No	"Monday, February 6, 2012"	No	10	2	9	10
43	Female	39	Some Travel	Technology	31	CA	White	3	Information Systems	Software Engineer	Single	90017	0	Yes	"Tuesday, February 7, 2012"	No	10	7	7	3
44	Male	44	Some Travel	Sales	21	CA	White	3	Marketing	Manager	Married	426142	0	No	"Tuesday, February 7, 2012"	No	10	4	5	4
45	Female	47	Some Travel	Technology	17	NY	White	2	Computer Science	Software Engineer	Married	46514	2	No	"Sunday, February 12, 2012"	No	10	9	9	2
46	Male	48	No Travel 	Sales	9	CA	White	5	Economics	Sales Executive	Single	125587	0	No	"Sunday, February 12, 2012"	No	10	10	10	4
47	Female	47	Some Travel	Human Resources	21	NY	Mixed or multiple ethnic groups	3	Marketing 	HR Executive	Single	98608	0	No	"Tuesday, February 14, 2012"	No	10	5	10	4
48	Female	48	Some Travel	Technology	30	NY	Black or African American	3	Information Systems	Software Engineer	Married	72794	1	No	"Tuesday, February 14, 2012"	No	10	4	5	3
49	Non-Binary	40	Some Travel	Technology	44	CA	White	2	Computer Science	Software Engineer	Single	69119	0	No	"Wednesday, February 15, 2012"	No	10	8	10	5
50	Female	32	Frequent Traveller	Technology	13	CA	White	1	Computer Science	Data Scientist	Divorced	48835	1	Yes	"Friday, February 17, 2012"	Yes	8	5	7	0
51	Male	28	No Travel 	Technology	44	NY	White	2	Computer Science	Senior Software Engineer	Married	218406	1	No	"Friday, February 17, 2012"	No	10	10	10	10
52	Female	40	Frequent Traveller	Technology	27	NY	Black or African American	4	Computer Science	Software Engineer	Divorced	42333	1	No	"Sunday, February 19, 2012"	No	10	4	5	5
53	Male	39	Some Travel	Sales	38	CA	Mixed or multiple ethnic groups	2	Technical Degree	Manager	Married	300299	1	Yes	"Sunday, February 19, 2012"	No	10	7	7	10
54	Female	34	Frequent Traveller	Sales	15	CA	White	2	Marketing 	Sales Executive	Single	173246	0	Yes	"Monday, February 20, 2012"	Yes	9	4	7	7
55	Female	35	Some Travel	Human Resources	22	CA	Mixed or multiple ethnic groups	1	Economics	Recruiter	Married	67264	0	No	"Wednesday, February 22, 2012"	No	10	8	8	2
56	Male	29	Frequent Traveller	Technology	14	IL	Asian or Asian American	3	Computer Science	Senior Software Engineer	Married	93591	1	No	"Wednesday, February 22, 2012"	No	10	4	10	3
57	Female	37	No Travel 	Technology	16	NY	Mixed or multiple ethnic groups	3	Information Systems	Data Scientist	Divorced	82099	2	No	"Thursday, February 23, 2012"	No	10	1	7	6
58	Female	38	Some Travel	Technology	39	IL	White	4	Information Systems	Data Scientist	Married	83590	1	No	"Thursday, February 23, 2012"	No	10	2	3	9
59	Female	29	Some Travel	Sales	19	NY	White	2	Marketing 	Sales Executive	Single	122811	0	Yes	"Monday, February 27, 2012"	Yes	2	1	1	1
60	Male	40	Some Travel	Technology	9	NY	Black or African American	1	Computer Science	Software Engineer	Single	58551	0	No	"Monday, February 27, 2012"	No	10	6	7	3
61	Female	44	Some Travel	Technology	28	CA	Black or African American	3	Information Systems	Software Engineer	Married	53325	1	Yes	"Tuesday, February 28, 2012"	No	10	4	8	4
62	Male	45	Some Travel	Sales	19	IL	White	4	Marketing 	Sales Representative	Married	47326	1	No	"Wednesday, February 29, 2012"	No	10	10	10	10
63	Female	41	Some Travel	Sales	16	CA	White	1	Marketing 	Sales Representative	Married	48147	1	No	"Thursday, March 1, 2012"	No	10	8	10	5
64	Male	42	Some Travel	Human Resources	4	IL	Black or African American	3	Human Resources	HR Manager	Married	463051	1	No	"Thursday, March 1, 2012"	No	10	0	10	7
65	Female	36	Some Travel	Technology	32	CA	Asian or Asian American	3	Computer Science	Senior Software Engineer	Married	111294	1	No	"Friday, March 2, 2012"	No	10	8	8	10
66	Non-Binary	35	No Travel 	Technology	27	CA	Asian or Asian American	3	Computer Science	Analytics Manager	Single	542695	0	No	"Friday, March 2, 2012"	No	10	5	5	1
67	Female	45	Some Travel	Technology	2	IL	White	1	Information Systems	Data Scientist	Divorced	64795	3	Yes	"Saturday, March 3, 2012"	No	10	5	8	10
68	Female	35	Some Travel	Technology	36	CA	White	4	Computer Science	Software Engineer	Married	59086	1	Yes	"Sunday, March 4, 2012"	No	10	2	8	4
69	Male	41	Some Travel	Sales	17	NY	White	3	Economics	Sales Executive	Married	116966	2	No	"Sunday, March 4, 2012"	No	10	4	10	7
70	Non-Binary	39	Frequent Traveller	Technology	8	CA	Asian or Asian American	4	Information Systems	Software Engineer	Single	137427	0	Yes	"Sunday, March 4, 2012"	No	10	9	10	8
71	Female	48	Some Travel	Technology	25	CA	White	1	Computer Science	Data Scientist	Married	47464	0	No	"Tuesday, March 6, 2012"	No	10	4	8	10
72	Male	46	Some Travel	Sales	20	CA	Black or African American	2	Technical Degree	Sales Executive	Married	150731	2	No	"Tuesday, March 6, 2012"	No	10	8	9	3
73	Female	43	Some Travel	Technology	35	CA	White	3	Computer Science	Engineering Manager	Divorced	436813	2	No	"Wednesday, March 7, 2012"	No	10	8	9	7
74	Female	46	Frequent Traveller	Sales	14	NY	White	1	Economics	Sales Executive	Married	205159	1	No	"Wednesday, March 7, 2012"	No	10	1	9	6
75	Female	30	Some Travel	Technology	8	IL	White	3	Information Systems	Software Engineer	Married	70771	1	No	"Thursday, March 8, 2012"	No	10	9	9	2
76	Male	30	Some Travel	Technology	6	CA	Black or African American	2	Computer Science	Machine Learning Engineer	Married	126238	0	No	"Thursday, March 8, 2012"	No	10	3	6	6
77	Male	39	Some Travel	Technology	5	CA	White	2	Computer Science	Data Scientist	Single	58685	0	No	"Thursday, March 8, 2012"	Yes	9	6	6	2
78	Male	35	Some Travel	Sales	29	NY	White	5	Marketing	Sales Executive	Divorced	182764	2	Yes	"Saturday, March 10, 2012"	No	10	7	9	9
79	Female	35	Some Travel	Human Resources	7	CA	Mixed or multiple ethnic groups	3	Marketing 	Recruiter	Divorced	47995	3	Yes	"Monday, March 12, 2012"	No	10	5	6	3
80	Female	28	Frequent Traveller	Technology	9	CA	Black or African American	3	Computer Science	Software Engineer	Married	48930	1	Yes	"Wednesday, March 14, 2012"	Yes	7	4	6	2
81	Non-Binary	46	Some Travel	Technology	36	NY	Black or African American	2	Computer Science	Machine Learning Engineer	Married	102964	2	No	"Saturday, March 17, 2012"	No	10	10	10	2
82	Female	43	Some Travel	Technology	11	CA	White	5	Information Systems	Analytics Manager	Married	482510	1	No	"Saturday, March 17, 2012"	No	10	9	9	1
83	Female	36	No Travel 	Sales	33	NY	Asian or Asian American	4	Marketing	Sales Executive	Married	116057	1	No	"Monday, March 19, 2012"	No	10	2	10	2
84	Female	45	Some Travel	Technology	20	NY	White	1	Computer Science	Software Engineer	Married	90264	0	Yes	"Monday, March 19, 2012"	No	10	2	4	4
85	Male	42	Some Travel	Sales	16	IL	Asian or Asian American	4	Marketing 	Sales Executive	Married	106277	2	No	"Monday, March 19, 2012"	No	10	0	5	5
86	Male	39	Some Travel	Technology	34	CA	Mixed or multiple ethnic groups	1	Computer Science	Machine Learning Engineer	Divorced	264285	1	No	"Friday, March 23, 2012"	No	10	10	10	1
87	Female	34	Some Travel	Technology	41	CA	Black or African American	2	Information Systems	Engineering Manager	Divorced	357371	1	No	"Saturday, March 24, 2012"	No	10	9	9	3
88	Female	41	Some Travel	Technology	9	CA	Black or African American	3	Computer Science	Machine Learning Engineer	Single	197592	0	Yes	"Saturday, March 24, 2012"	No	10	5	10	0
89	Female	30	Some Travel	Human Resources	19	NY	Mixed or multiple ethnic groups	3	Human Resources	HR Executive	Married	97153	1	No	"Sunday, March 25, 2012"	No	10	5	6	9
90	Male	38	Some Travel	Technology	39	NY	White	3	Computer Science	Data Scientist	Single	65416	0	No	"Sunday, March 25, 2012"	No	10	5	10	7
91	Male	35	No Travel 	Technology	17	CA	Asian or Asian American	2	Computer Science	Senior Software Engineer	Divorced	117151	1	No	"Monday, March 26, 2012"	No	10	3	7	6
92	Male	32	Some Travel	Sales	39	CA	Black or African American	4	Marketing 	Sales Executive	Married	105748	2	No	"Wednesday, March 28, 2012"	No	10	0	1	8
93	Male	46	Some Travel	Technology	11	CA	Black or African American	4	Information Systems	Software Engineer	Married	56608	3	Yes	"Saturday, March 31, 2012"	No	10	3	5	9
94	Male	30	Some Travel	Technology	14	CA	Asian or Asian American	4	Computer Science	Machine Learning Engineer	Married	194823	1	No	"Sunday, April 1, 2012"	No	10	4	9	8
95	Male	28	Frequent Traveller	Technology	22	CA	White	5	Computer Science	Machine Learning Engineer	Single	205433	0	No	"Monday, April 2, 2012"	Yes	4	1	2	1
96	Male	42	Some Travel	Technology	34	NY	White	4	Business Studies	Machine Learning Engineer	Divorced	126463	1	No	"Wednesday, April 4, 2012"	No	10	0	1	8
97	Female	47	Some Travel	Technology	5	NY	Mixed or multiple ethnic groups	5	Information Systems	Data Scientist	Single	133616	0	Yes	"Friday, April 6, 2012"	No	10	9	9	0
98	Female	36	Some Travel	Technology	4	CA	White	3	Information Systems	Senior Software Engineer	Single	208338	0	No	"Saturday, April 7, 2012"	No	10	10	10	1
99	Male	31	Some Travel	Sales	15	CA	White	3	Marketing	Sales Executive	Married	187930	3	No	"Saturday, April 7, 2012"	Yes	3	2	2	0
100	Female	43	Frequent Traveller	Sales	1	NY	Mixed or multiple ethnic groups	3	Marketing	Sales Executive	Single	180996	0	No	"Tuesday, April 10, 2012"	No	10	8	10	9
101	Male	47	Some Travel	Technology	40	NY	White	2	Computer Science	Data Scientist	Single	108798	0	No	"Thursday, April 12, 2012"	No	10	0	4	7
102	Male	47	No Travel 	Sales	17	NY	White	4	Other	Sales Executive	Married	176158	0	No	"Friday, April 13, 2012"	No	10	9	10	2
103	Male	36	Some Travel	Technology	7	CA	Black or African American	4	Computer Science	Data Scientist	Divorced	73643	1	No	"Saturday, April 14, 2012"	No	10	0	7	9
104	Male	43	No Travel 	Technology	15	CA	Asian or Asian American	2	Other	Machine Learning Engineer	Divorced	76826	1	No	"Saturday, April 14, 2012"	No	10	9	9	7
105	Male	38	Some Travel	Technology	40	CA	White	4	Computer Science	Senior Software Engineer	Divorced	126505	1	No	"Sunday, April 15, 2012"	No	10	1	5	8
106	Female	45	Some Travel	Technology	34	NY	White	2	Information Systems	Machine Learning Engineer	Divorced	152278	1	Yes	"Wednesday, April 18, 2012"	No	10	8	8	2
107	Male	28	Some Travel	Technology	6	CA	White	1	Information Systems	Data Scientist	Single	87175	0	No	"Saturday, April 21, 2012"	No	10	6	10	7
108	Non-Binary	35	Some Travel	Sales	26	CA	Black or African American	4	Marketing	Sales Executive	Single	98435	0	No	"Monday, April 23, 2012"	No	10	7	9	9
109	Female	28	Some Travel	Technology	33	CA	Asian or Asian American	3	Computer Science	Data Scientist	Single	54536	0	No	"Monday, April 23, 2012"	Yes	3	3	3	2
110	Female	31	Some Travel	Technology	14	NY	Mixed or multiple ethnic groups	1	Other	Software Engineer	Single	63482	0	No	"Monday, April 23, 2012"	Yes	1	0	1	1
111	Male	29	Some Travel	Technology	33	CA	White	3	Computer Science	Software Engineer	Divorced	153909	1	No	"Monday, April 23, 2012"	No	10	10	10	2
112	Male	29	Frequent Traveller	Sales	42	CA	White	3	Technical Degree	Sales Representative	Married	78726	1	No	"Wednesday, April 25, 2012"	Yes	6	0	1	1
113	Female	46	Some Travel	Sales	36	CA	White	3	Marketing 	Sales Executive	Married	96188	1	Yes	"Thursday, April 26, 2012"	Yes	9	8	9	5
114	Female	28	Frequent Traveller	Sales	32	NY	Black or African American	1	Technical Degree	Sales Representative	Single	53439	0	Yes	"Friday, April 27, 2012"	Yes	3	0	0	1
115	Female	28	Some Travel	Technology	9	NY	Asian or Asian American	4	Computer Science	Software Engineer	Single	43578	0	Yes	"Friday, April 27, 2012"	Yes	5	3	5	5
116	Female	40	Some Travel	Technology	26	CA	Mixed or multiple ethnic groups	3	Information Systems	Senior Software Engineer	Single	120858	0	No	"Sunday, April 29, 2012"	No	10	9	9	8
117	Male	32	Some Travel	Technology	36	CA	Black or African American	2	Computer Science	Software Engineer	Single	78672	0	No	"Sunday, April 29, 2012"	No	10	6	9	5
118	Female	30	Some Travel	Technology	30	NY	Asian or Asian American	1	Computer Science	Machine Learning Engineer	Married	228438	1	No	"Monday, April 30, 2012"	No	10	6	9	10
119	Female	35	Frequent Traveller	Technology	39	CA	Mixed or multiple ethnic groups	4	Computer Science	Software Engineer	Single	71257	0	No	"Tuesday, May 1, 2012"	No	10	1	6	10
120	Female	37	Frequent Traveller	Technology	14	CA	Mixed or multiple ethnic groups	4	Computer Science	Machine Learning Engineer	Married	99936	1	No	"Tuesday, May 1, 2012"	No	10	9	10	6
121	Female	29	Some Travel	Sales	4	CA	Mixed or multiple ethnic groups	2	Marketing 	Sales Executive	Single	129356	0	No	"Wednesday, May 2, 2012"	Yes	5	1	1	2
122	Female	42	Some Travel	Sales	39	CA	White	3	Economics	Sales Executive	Married	206277	2	No	"Wednesday, May 2, 2012"	No	10	6	10	1
123	Female	45	Some Travel	Sales	43	CA	Black or African American	2	Other	Sales Executive	Divorced	106610	1	Yes	"Thursday, May 3, 2012"	No	10	0	7	5
124	Female	28	Some Travel	Sales	8	CA	Mixed or multiple ethnic groups	3	Marketing	Sales Executive	Married	194964	1	Yes	"Friday, May 4, 2012"	No	10	2	2	8
125	Male	42	Some Travel	Technology	5	NY	Mixed or multiple ethnic groups	1	Computer Science	Data Scientist	Single	47461	0	No	"Saturday, May 5, 2012"	No	10	4	7	5
126	Male	43	Some Travel	Sales	39	CA	White	2	Marketing	Sales Executive	Divorced	176705	1	No	"Saturday, May 5, 2012"	No	10	5	7	7
127	Male	34	Some Travel	Technology	40	IL	White	3	Computer Science	Senior Software Engineer	Married	97542	3	No	"Sunday, May 6, 2012"	No	10	10	10	7
128	Female	28	Some Travel	Technology	23	NY	White	3	Information Systems	Data Scientist	Married	35606	3	Yes	"Monday, May 7, 2012"	Yes	5	3	4	5
129	Female	42	No Travel 	Sales	10	CA	White	2	Marketing 	Sales Representative	Married	48922	1	No	"Monday, May 7, 2012"	No	10	3	9	9
130	Female	28	Frequent Traveller	Technology	4	CA	Mixed or multiple ethnic groups	3	Computer Science	Data Scientist	Married	65659	1	Yes	"Wednesday, May 9, 2012"	Yes	2	0	0	0
131	Male	28	Some Travel	Human Resources	18	CA	Native Hawaiian 	2	Economics	HR Executive	Married	179561	1	No	"Wednesday, May 9, 2012"	Yes	1	0	0	1
132	Male	45	Frequent Traveller	Sales	1	NY	Black or African American	3	Marketing 	Sales Representative	Married	70487	1	No	"Wednesday, May 9, 2012"	No	10	0	7	3
133	Female	32	Some Travel	Technology	39	CA	Asian or Asian American	1	Computer Science	Software Engineer	Single	68256	0	No	"Thursday, May 10, 2012"	No	10	7	9	6
134	Female	43	Some Travel	Technology	10	CA	White	3	Computer Science	Software Engineer	Divorced	43211	1	No	"Saturday, May 12, 2012"	No	10	2	6	9
135	Female	28	Some Travel	Sales	1	CA	White	4	Marketing 	Sales Executive	Married	87039	1	No	"Sunday, May 13, 2012"	No	10	3	5	4
136	Male	44	Some Travel	Technology	23	CA	Native Hawaiian 	3	Information Systems	Data Scientist	Single	108623	0	No	"Sunday, May 13, 2012"	No	10	3	3	8
137	Female	36	Some Travel	Technology	41	NY	White	3	Computer Science	Machine Learning Engineer	Single	218940	0	Yes	"Monday, May 14, 2012"	No	10	6	8	5
138	Non-Binary	37	Some Travel	Technology	28	CA	Black or African American	3	Information Systems	Analytics Manager	Single	368494	0	Yes	"Monday, May 14, 2012"	No	10	8	9	6
139	Female	35	Some Travel	Technology	32	NY	Mixed or multiple ethnic groups	2	Business Studies	Data Scientist	Married	119917	1	Yes	"Tuesday, May 15, 2012"	No	10	5	7	4
140	Male	48	Some Travel	Sales	33	NY	Mixed or multiple ethnic groups	2	Marketing 	Sales Executive	Divorced	191771	1	No	"Thursday, May 17, 2012"	No	10	0	10	4
141	Male	48	Some Travel	Technology	26	IL	White	4	Information Systems	Data Scientist	Divorced	35749	2	No	"Thursday, May 17, 2012"	No	10	7	7	8
142	Female	34	Some Travel	Sales	16	NY	White	2	Economics	Sales Executive	Divorced	100710	1	Yes	"Sunday, May 20, 2012"	No	10	10	10	2
143	Female	34	Some Travel	Technology	41	NY	Black or African American	3	Computer Science	Software Engineer	Married	50386	1	No	"Sunday, May 20, 2012"	No	10	8	9	10
144	Male	46	Some Travel	Human Resources	45	IL	White	3	Human Resources	Recruiter	Divorced	48740	3	Yes	"Sunday, May 20, 2012"	Yes	10	8	9	6
145	Male	47	Some Travel	Sales	42	CA	Asian or Asian American	3	Marketing 	Sales Executive	Married	249553	1	No	"Sunday, May 20, 2012"	No	10	3	4	9
146	Female	32	Frequent Traveller	Technology	14	IL	American Indian or Alaska Native	3	Business Studies	Software Engineer	Married	86639	0	No	"Monday, May 21, 2012"	No	10	3	9	5
147	Non-Binary	42	Some Travel	Technology	12	CA	White	4	Business Studies	Senior Software Engineer	Married	167089	1	No	"Thursday, May 24, 2012"	No	10	7	9	8
148	Female	43	Frequent Traveller	Sales	5	CA	American Indian or Alaska Native	3	Marketing 	Sales Executive	Single	350525	0	Yes	"Sunday, May 27, 2012"	Yes	9	3	9	6
149	Female	36	No Travel 	Technology	28	CA	Asian or Asian American	4	Other	Data Scientist	Divorced	77136	2	No	"Monday, May 28, 2012"	No	10	10	10	10
150	Female	48	No Travel 	Technology	40	CA	White	2	Information Systems	Machine Learning Engineer	Divorced	92884	1	No	"Wednesday, May 30, 2012"	No	10	5	9	2
151	Male	42	Some Travel	Sales	26	CA	White	4	Marketing	Sales Executive	Single	91179	0	No	"Wednesday, May 30, 2012"	No	10	7	9	0
152	Female	33	Some Travel	Technology	36	CA	Asian or Asian American	3	Computer Science	Machine Learning Engineer	Single	88726	0	No	"Tuesday, January 1, 2013"	No	9	8	8	6
153	Female	47	Frequent Traveller	Sales	19	CA	American Indian or Alaska Native	3	Technical Degree	Sales Representative	Married	46684	1	No	"Saturday, January 12, 2013"	No	9	4	9	3
154	Male	29	Some Travel	Sales	38	CA	Asian or Asian American	4	Marketing	Sales Executive	Married	102061	1	No	"Thursday, January 17, 2013"	No	9	5	9	5
155	Female	42	Some Travel	Technology	9	CA	Asian or Asian American	2	Information Systems	Data Scientist	Married	73577	1	No	"Wednesday, January 23, 2013"	No	9	9	9	6
156	Male	39	Some Travel	Technology	3	CA	Black or African American	3	Computer Science	Machine Learning Engineer	Single	81115	0	No	"Thursday, January 24, 2013"	No	9	2	4	0
157	Female	46	Frequent Traveller	Technology	16	NY	White	2	Computer Science	Software Engineer	Single	100717	0	Yes	"Wednesday, January 30, 2013"	No	9	5	9	7
158	Male	29	Some Travel	Sales	20	NY	Black or African American	3	Marketing 	Sales Executive	Single	149688	0	Yes	"Monday, February 4, 2013"	Yes	2	2	2	2
159	Female	36	Some Travel	Technology	35	NY	White	2	Computer Science	Software Engineer	Married	60585	2	No	"Tuesday, February 5, 2013"	No	9	0	7	9
160	Female	46	Frequent Traveller	Technology	24	NY	White	3	Computer Science	Engineering Manager	Married	514945	0	Yes	"Tuesday, February 5, 2013"	No	9	4	7	7
161	Female	31	Frequent Traveller	Sales	21	NY	Asian or Asian American	3	Marketing	Sales Executive	Single	253719	0	No	"Tuesday, February 12, 2013"	No	9	2	4	3
162	Male	29	Frequent Traveller	Technology	26	CA	White	3	Computer Science	Data Scientist	Single	78541	0	Yes	"Saturday, February 23, 2013"	Yes	6	5	5	2
163	Female	38	Frequent Traveller	Technology	6	CA	Black or African American	3	Information Systems	Senior Software Engineer	Single	126515	0	No	"Wednesday, February 27, 2013"	No	9	7	9	4
164	Male	38	Some Travel	Technology	18	CA	Black or African American	2	Information Systems	Data Scientist	Married	89362	0	No	"Friday, March 1, 2013"	No	9	3	9	7
165	Female	47	Frequent Traveller	Human Resources	3	CA	White	3	Marketing 	HR Executive	Married	85744	2	No	"Saturday, March 2, 2013"	No	9	0	9	8
166	Male	43	No Travel 	Technology	21	CA	White	4	Information Systems	Analytics Manager	Single	280756	0	No	"Tuesday, March 5, 2013"	No	9	8	8	3
167	Male	36	Some Travel	Technology	28	NY	Black or African American	3	Information Systems	Machine Learning Engineer	Married	174019	1	Yes	"Thursday, March 7, 2013"	No	9	8	9	1
168	Female	40	Some Travel	Technology	17	NY	White	1	Information Systems	Software Engineer	Married	41601	0	No	"Friday, March 8, 2013"	No	9	8	9	8
169	Female	35	Some Travel	Sales	23	NY	White	3	Economics	Sales Representative	Married	81389	1	No	"Monday, March 11, 2013"	No	9	3	7	5
170	Female	32	Some Travel	Sales	9	IL	White	2	Marketing 	Sales Executive	Divorced	133865	1	Yes	"Tuesday, March 12, 2013"	No	9	3	3	0
